POSITION,GROUP,LEVEL,FIELD,TIME,CONTRACTOR,CONTRACTOR TYPE,OWNER,LABOR TYPE,UNION NUMBER,WAGE TYPE,BUILDING TYPE,CITY,STATE,DATE,TYPE,BILL RATE,BASE,FICA,FUTA,SUTA,WORK COMP,LIABILITY INS,TAX/INS,FRINGE BENEFITS,PER DIEM,SMALL TOOLS,OT,G&A (OH),PROFIT
ACCOUNTANT,,MANAGER,,REG,TURNER CONSTRUCTION COMPANY,GC/CM,SIDECAT LLC,GC PM,,BURDENED,DATA CENTER,NEW ALBANY,OH,2018-05-10,SUPERVISION,,,,,,,,,,,,,,
ACCOUNTANT,,,,REG,TURNER CONSTRUCTION COMPANY,GC/CM,SIDECAT LLC,GC PM,,BURDENED,DATA CENTER,NEW ALBANY,OH,2018-05-10,SUPERVISION,,,,,,,,,,,,,,
ACCOUNTANT,,MANAGER,,REG,FLINTCO,GC/CM,TESLA,,,BURDENED,MANUFACTURING-AUTOMOTIVE,AUSTIN,TX,2020-08-07,SUPERVISION,,140.4,10.7406,0.020192307692307693,0.05668269230769231,,,,14.490356923076924,,,,,7.0200000000000005
ACCOUNTANT,,,,REG,CADENCE MCSHANE CONSTRUCTION LLC,GC/CM,TESLA,,,BURDENED,MANUFACTURING-AUTOMOTIVE,AUSTIN,TX,2020-08-07,SUPERVISION,,40.87,2.53,0.09,1.39,0.9807692307692307,0.0,0.0,26.826057692307693,,0.0,0.0,3.63,7.63
ACCOUNTANT,,,,2T,HENSEL PHELPS,GC/CM,TESLA,,,BURDENED,MANUFACTURING-AUTOMOTIVE,AUSTIN,TX,2020-08-07,SUPERVISION,,59.18062631108291,,,,,,,,,,,,
ACCOUNTANT,,,,OT,HENSEL PHELPS,GC/CM,TESLA,,,BURDENED,MANUFACTURING-AUTOMOTIVE,AUSTIN,TX,2020-08-07,SUPERVISION,,59.18062631108291,,,,,,,,,,,,
ACCOUNTANT,,,,REG,HENSEL PHELPS,GC/CM,TESLA,,,BURDENED,MANUFACTURING-AUTOMOTIVE,AUSTIN,TX,2020-08-07,SUPERVISION,,23.5100675012981,1.7985201638493045,0.1410604050077886,0.6606328967864766,,,,16.131079443835457,,,,0.8872166820515779,1.2336536721860034
ACCOUNTANT,,,,REG,HOFFMAN,GC/CM,TESLA,,,BURDENED,MANUFACTURING-AUTOMOTIVE,AUSTIN,TX,2020-08-07,SUPERVISION,,43.0,3.55,0.03,0.43,,,,19.372525697934464,,,,2.37,
ACCOUNTANT,,,,REG,HOFFMAN,GC/CM,TESLA,,,BURDENED,MANUFACTURING-AUTOMOTIVE,AUSTIN,TX,2020-08-07,SUPERVISION,,67.0,5.53,0.04,0.67,,,,30.18509818050253,,,,3.69,
ACCOUNTANT,,,,REG,YATES CONSTRUCTION,GC/CM,TESLA,GC PM,,BURDENED,MANUFACTURING-AUTOMOTIVE,AUSTIN,TX,2020-08-07,SUPERVISION,,55.0,4.2075,0.33,0.4675,,,,14.366,,,,2.2,2.2
ACCOUNTANT,,,,REG,HOLT,GC/CM,UNITED AIRLINES,GC PM,,BURDENED,AVIATION,NEWARK,NJ,2017-03-03,SUPERVISION,,82.16,,,,,,,,,,,,
ACCOUNTANT,,MANAGER,,REG,GRAYCOR,,WESTFIELD,,,BURDENED,RETAIL,SAN JOSE,CA,2016-05-01,SUPERVISION,,203.09,,,,,,,,,,,,
ACCOUNTANT,,SENIOR,,REG,GRAYCOR,,WESTFIELD,,,BURDENED,RETAIL,SAN JOSE,CA,2016-05-01,SUPERVISION,,226.31,,,,,,,,,,,,
ACCOUNTANT,,,,REG,GRAYCOR,,WESTFIELD,,,BURDENED,RETAIL,SAN JOSE,CA,2016-05-01,SUPERVISION,,203.09,,,,,,,,,,,,
ACCOUNTANT,,ASSISTANT,,REG,,,,GC PM,,BURDENED,,,,2022-01-01,SUPERVISION,,,,,,,,,,,,,,
ACCOUNTANT,,ASSISTANT,,REG,,,,GC PM,,BURDENED,,,,2023-01-01,SUPERVISION,,,,,,,,,,,,,,
ACCOUNTANT,,ASSISTANT,,REG,,,,GC PM,,BURDENED,,,,2024-01-01,SUPERVISION,,,,,,,,,,,,,,
ACCOUNTANT,,ASSISTANT,,REG,,,,GC PM,,BURDENED,,,,2025-01-01,SUPERVISION,,,,,,,,,,,,,,
ACCOUNTANT,,MANAGER,,REG,,,,GC PM,,BURDENED,,,,2022-01-01,SUPERVISION,,,,,,,,,,,,,,
ACCOUNTANT,,MANAGER,,REG,,,,GC PM,,BURDENED,,,,2023-01-01,SUPERVISION,,,,,,,,,,,,,,
ACCOUNTANT,,MANAGER,,REG,,,,GC PM,,BURDENED,,,,2024-01-01,SUPERVISION,,,,,,,,,,,,,,
ACCOUNTANT,,MANAGER,,REG,,,,GC PM,,BURDENED,,,,2025-01-01,SUPERVISION,,,,,,,,,,,,,,
ACCOUNTANT,,,MECHANICAL,REG,W.E. BOWERS,SUB,,UNKNOWN,,BURDENED,DATA CENTER,BALTIMORE,MD,2023-01-01,SUPERVISION,,,,,,,,,,,,,,
ACCOUNTANT,,,STRUCTURAL STEEL,REG,FORMIT STEEL COMPANY,SUB,,,,BURDENED,DATA CENTER,BALTIMORE,MD,2023-01-01,SUPERVISION,,,,,,,,,,,,,,
ACCOUNTANT,,,,REG,MCGUIRE HESTER,,,,,BURDENED,,SACREMENTO,CA,2017-08-01,SUPERVISION,,84.0,,,,,,,,,,,,
ACCOUNTANT,,,,REG,MCGUIRE HESTER,,,,,BURDENED,,SACREMENTO,CA,2016-02-28,SUPERVISION,,94.0,,,,,,,,,,,,
ACCOUNTANT,,,,REG,TORCON,GC/CM,,GC PM,,BURDENED,,NEWARK,NJ,2014-01-01,SUPERVISION,,110.64,,,,,,,,,,,,
ACCOUNTANT,,,,REG,,GC/CM,,GC PM,,BURDENED,,,,2022-01-01,SUPERVISION,,68.0,,,,,,,,,,,,
ACCOUNTANT,,,ELECTRICAL,REG,HOLDER,GC/CM,IRON MOUNTAIN,UNKNOWN,,BURDENED,DATA CENTER,PHOENIX,AZ,2022-06-01,SUPERVISION,,,,,,,,,,,,,,
ADMIN,,SENIOR,,REG,AWS CONSTRUCTION,GC/CM,AMAZON,GC PM,,BURDENED,DATA CENTER,VA,VA,2021-01-01,SUPERVISION,,74.27,,,,,,,,,,,,
ADMIN,,,,REG,AWS CONSTRUCTION,GC/CM,AMAZON,GC PM,,BURDENED,DATA CENTER,VA,VA,2021-01-01,SUPERVISION,,61.76375,,,,,,,,,,,,
ADMIN,,ASSISTANT,,REG,TRUBECK,GC/CM,ARCOA,GC PM,,BURDENED,MULTIFAMILY,PORTLAND,OR,2021-04-09,SUPERVISION,,66.0,,,,,,,,,,,,
ADMIN,,SENIOR,MECHANICAL,OT,W.E. BOWERS,SUB,AWS,UNKNOWN,,BURDENED,DATA CENTER,WASHINGTON,DC,2020-03-16,SUPERVISION,,105.2,,,,,,,,,,,,
ADMIN,,SENIOR,MECHANICAL,REG,W.E. BOWERS,SUB,AWS,UNKNOWN,,BURDENED,DATA CENTER,WASHINGTON,DC,2020-03-16,SUPERVISION,,74.27,,,,,,,,,,,,
ADMIN,,,,REG,THERMA,SUB,GENENTECH,GC PM,,BURDENED,MANUFACTURING-PHARMA,SAN FRANCISCO,CA,2022-04-14,SUPERVISION,,109.04,,,,,,,,,,,,
ADMIN,,,,OT,THERMA,SUB,GENENTECH,GC PM,,BURDENED,MANUFACTURING-PHARMA,SAN FRANCISCO,CA,2022-04-14,SUPERVISION,,143.25,,,,,,,,,,,,
